,Date,btc,eth,bnc
432,2018-09-30,6625.560059,232.848007,10.0178
433,2018-10-01,6589.620117,230.768005,9.94366
434,2018-10-02,6556.100098,227.181,10.3568
435,2018-10-03,6502.589844,220.488998,10.2712
436,2018-10-04,6576.689941,222.218002,10.2556
437,2018-10-05,6622.47998,227.600998,10.6362
438,2018-10-06,6588.310059,225.119995,10.3721
439,2018-10-07,6602.950195,226.119003,10.519
440,2018-10-08,6652.22998,229.255005,10.5066
441,2018-10-09,6642.640137,227.981995,10.3849
442,2018-10-10,6585.529785,225.768997,10.328
443,2018-10-11,6256.240234,189.498993,9.30132
444,2018-10-12,6274.580078,196.727005,9.52894
445,2018-10-13,6285.990234,199.841003,9.54036
446,2018-10-14,6290.930176,195.714996,9.49674
447,2018-10-15,6596.540039,209.703995,10.3161
448,2018-10-16,6596.109863,210.119995,10.0109
449,2018-10-17,6544.430176,207.082993,9.90447
450,2018-10-18,6476.709961,203.352005,9.71658
451,2018-10-19,6465.410156,203.727005,9.76675
452,2018-10-20,6489.189941,205.429993,9.75463
453,2018-10-21,6482.350098,205.141998,9.7433
454,2018-10-22,6487.160156,204.044006,9.72685
455,2018-10-23,6475.740234,204.335999,9.80308
456,2018-10-24,6495.839844,203.852005,9.74532
457,2018-10-25,6476.290039,202.718994,9.69228
458,2018-10-26,6474.75,203.328995,9.70268
459,2018-10-27,6480.379883,204.210007,9.65445
460,2018-10-28,6486.390137,205.365997,9.66679
461,2018-10-29,6332.629883,197.246994,9.40262
462,2018-10-30,6334.27002,197.556,9.38704
463,2018-10-31,6317.609863,197.380997,9.36496
464,2018-11-01,6377.779785,198.871994,9.54922
465,2018-11-02,6388.439941,200.634995,9.57308
466,2018-11-03,6361.259766,200.186005,9.53021
467,2018-11-04,6376.129883,207.485992,9.62754
468,2018-11-05,6419.660156,209.091003,9.67251
469,2018-11-06,6461.009766,218.451996,9.78081
470,2018-11-07,6530.140137,217.182999,9.81693
471,2018-11-08,6453.720215,212.231003,9.65095
472,2018-11-09,6385.620117,210.074005,9.5542
473,2018-11-10,6409.220215,212.533005,9.55752
474,2018-11-11,6411.27002,211.339996,9.466
475,2018-11-12,6371.27002,210.417999,9.36122
476,2018-11-13,6359.490234,206.826004,9.24841
477,2018-11-14,5738.350098,181.397003,8.40701
478,2018-11-15,5648.029785,180.806,8.18486
479,2018-11-16,5575.549805,175.177002,7.88448
480,2018-11-17,5554.330078,174.001007,7.7182
481,2018-11-18,5623.540039,177.067001,7.99976
482,2018-11-19,4871.490234,149.175003,6.63209
483,2018-11-20,4451.870117,130.339005,5.76021
484,2018-11-21,4602.169922,136.701004,6.19905
485,2018-11-22,4365.939941,126.706001,5.75555
486,2018-11-23,4347.109863,123.295998,5.55743
487,2018-11-24,3880.76001,113.494003,5.11528
488,2018-11-25,4009.969971,116.449997,5.18058
489,2018-11-26,3779.129883,108.334999,4.92645
490,2018-11-27,3820.719971,110.010002,4.91305
491,2018-11-28,4257.419922,122.438004,5.33696
492,2018-11-29,4278.84668,117.542648,5.346633
493,2018-11-30,4017.268555,113.171417,5.078572
494,2018-12-01,4214.671875,118.635559,5.288723
495,2018-12-02,4139.87793,116.388901,5.250417
496,2018-12-03,3894.130859,108.925018,5.109251
497,2018-12-04,3956.893799,110.214188,5.880791
498,2018-12-05,3753.994873,102.475555,5.984278
499,2018-12-06,3521.101807,91.761055,4.951687
500,2018-12-07,3419.937256,93.294563,4.52865
501,2018-12-08,3476.114746,92.159637,4.700418
502,2018-12-09,3614.234375,95.142059,4.859104
503,2018-12-10,3502.656006,91.685654,4.712263
504,2018-12-11,3424.588135,88.945305,4.940698
505,2018-12-12,3486.950195,90.5933,5.023137
506,2018-12-13,3313.677246,86.539314,4.650704
507,2018-12-14,3242.484863,84.308296,4.533357
508,2018-12-15,3236.761719,84.440811,4.563012
509,2018-12-16,3252.839111,85.2621,4.645258
510,2018-12-17,3545.864746,95.133827,5.110017
511,2018-12-18,3696.059082,101.112457,5.60027
512,2018-12-19,3745.950684,101.268578,5.491901
513,2018-12-20,4134.441406,116.216873,5.792257
514,2018-12-21,3896.543701,109.496231,5.567144
515,2018-12-22,4014.182617,116.759499,5.930578
516,2018-12-23,3998.980225,130.765259,6.059008
517,2018-12-24,4078.599121,140.238007,6.144924
518,2018-12-25,3815.490723,129.844345,5.547575
519,2018-12-26,3857.297607,131.865631,5.713105
520,2018-12-27,3654.833496,116.575912,5.27545
521,2018-12-28,3923.918701,137.647018,6.011828
522,2018-12-29,3820.408691,138.018341,5.83234
523,2018-12-30,3865.952637,139.859451,5.995711
524,2018-12-31,3742.700439,133.368256,6.164732
525,2019-01-01,3843.52002,140.819412,6.075273
526,2019-01-02,3943.409424,155.047684,6.188613
527,2019-01-03,3836.741211,149.13501,5.903535
528,2019-01-04,3857.717529,154.58194,6.065138
529,2019-01-05,3845.19458,155.638596,6.065543
530,2019-01-06,4076.632568,157.746201,6.395979
531,2019-01-07,4025.248291,151.699219,6.291411
